"item_id","marketplace","country","main_image_id","domain_name","bullet_point","item_keywords","material","brand","color","item_name","model_name","model_number","product_type"
"B06X6HCNDY","Amazon","GB","81e+QjyTZsL","amazon.co.uk","Drop earrings in sterling silver featuring vintage heart cut Swarovski Zirconia This jewelry design was manufactured with the highest quality standards. All efforts are being made to use sustainable resources and socially responsible providers. Each Swarovski Zirconia is Laser Engraved as a seal of authenticity and guarantees the highest quality diamond simulant in the world Imported","","","Amazon Collection","","Sterling Silver Swarovski Zirconia Heart Vintage Themed Drop Earrings","0","E2119305_150_000","FINEEARRING"
"B07JQX8F3M","Amazon","US","91pt1NmTptL","amazon.com","Lounger patio cushion made of durable 100% polyester canvas with ties for attaching Specially treated fabric stands up to the elements (water repellent, oil repellent, UV resistant) Overstuffed for extra comfort and longevity; filling material uses 100% recycled poly batting Suitable for indoor or outdoor use; wipes clean with a damp cloth; choice of color/pattern Measures 72.5 by 21 by 3 inches (LxWxH). Please note: the cushion’s dimensions are within +/- 1 inch and will arrive in a slightly compressed state, allow a few days for it to expand to its full size.","22 deep 25x25 greendale 25 perfect loveseat 48 navy cushions deck adirondack chaise ledge rocking couch back chase tanning bauer high furniture lounges chairs clearance waterproof highback sectional bay kitchen covers 22x22 wicker set lounge in chair fashions home seat swing 2 4 sunbrella","spun_polyester","Amazon Basics","Red Stripe","Amazon Basics Outdoor Lounger Patio Cushion - Red Stripe","","AMZLCBP-001RS","PILLOW"
"B085494HC4","Amazon","IN","71zGfNbEjKL","amazon.in","Snug fit for Mi A3, with perfect cut-outs for volume buttons, audio and charging ports Compatible with Mi A3 Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface.","Back Cover Designer Case Designer Dark Night Park Mobile Cover Flexible Case Mi A3 Case Printed Cover Silicone Case Soft TPU cases and covers fashion case mobile Cover","Silicon","Amazon Brand - Solimo","Multicolor","Amazon Brand - Solimo Designer Dark Night Park UV Printed Soft Back Case Mobile Cover for Mi A3","Mi A3","UV10796-SL11269","CELLULAR_PHONE_CASE"
"B07TF1F2X2","Amazon","IN","81gsgj6a4XL","amazon.in","3D Printed Hard Back Case Mobile Cover for Sony Xperia L2 Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. Slim Hard Back Cover No Warranty None","mobile cover back cover mobile case phone case mobile panel phone panel Xiaomi Mi mobile case Xiaomi Mi phone cover Xiaomi Mi back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover","","Amazon Brand - Solimo","Others","Amazon Brand - Solimo Designer Multiolor Brush Texture on Wall 3D Printed Hard Back Case Mobile Cover for Sony Xperia L2","Sony Xperia L2","gz8491-SL40633","CELLULAR_PHONE_CASE"
"B081HNQDMF","Amazon","IN","71Avm-Gp-wL","amazon.in","Snug fit for Mobile, with perfect cut-outs for volume buttons, audio and charging ports Compatible with OPPO A9 (2020) Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface.No warranty","mobile cover back cover mobile case phone case mobile panel phone panel Redmi mobile case Redmi phone cover Redmi back case mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover","Plastic","Amazon Brand - Solimo","multi-colored","Amazon Brand - Solimo Designer Heart Design 3D Printed Hard Back Case Mobile Cover for Oppo A9 (2020)","OPPO A9 (2020)","SOLOPPOA920203DM68","CELLULAR_PHONE_CASE"
"B07TG4W7ML","Amazon","IN","71AsaXsiBUL","amazon.in","3D Printed Hard Back Case Mobile Cover for Gionee X1 Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. Slim Hard Back Cover No Warranty","mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel hard case 3D printed mobile cover","","Amazon Brand - Solimo","Others","Amazon Brand - Solimo Designer Pattern 3D Printed Hard Back Case Mobile Cover for Gionee X1","Gionee X1","gz8501-SL40433","CELLULAR_PHONE_CASE"
"B08569PHFR","Amazon","IN","71-c1U5epjL","amazon.in","Snug fit for Vivo V5, with perfect cut-outs for volume buttons, audio and charging ports Compatible with Vivo V5 Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. None","Back Cover Designer Case Designer Funny Cat Pattern Print Mobile Cover Flexible Case Printed Cover Silicone Case Soft TPU Vivo V5 Case cases and covers fashion case mobile Cover","Silicone","Amazon Brand - Solimo","Multicolor","Amazon Brand - Solimo Designer Funny Cat Pattern Print UV Printed Soft Back Case Mobile Cover for Vivo V5","Vivo V5","UV10270-SL12343","CELLULAR_PHONE_CASE"
"B07T9TPDXY","Amazon","IN","71xaCN55RqL","amazon.in","3D Printed Hard Back Case Mobile Cover for Huawei P9 lite Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. Slim Hard Back Cover No Warranty","mobile cover back cover mobile case phone case mobile panel phone panel samsung mobile case samsung phone cover samsung back case mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover mobile cover back cover mobile case phone case mobile panel phone panel Huawei mobile case Huawei phone cover Huawei back case honor cases honor cover","","Amazon Brand - Solimo","Others","Amazon Brand - Solimo Designer White Tiger 3D Printed Hard Back Case Mobile Cover for Huawei P9 lite","Huawei P9 lite","gz8348-SL40712","CELLULAR_PHONE_CASE"
"B000W9Z1V2","Amazon","US","8136TWOm+SS","amazon.com","Set of 2 decorative bird statues adds appeal to gardens, plant beds, decks, or balconies Made by skilled artisans in India of aluminum with a green patina finish Designed to be rust-resistant and to withstand the elements Coordinating garden dcor available separately from Strathwood Measures 7 by 3-1/2 by 4-1/2 inches and 6 by 4 by 4 inches","gift country door plaque purdue guns prefer brothers deck sign cow alphabet hola kiss primitves begins tea chic bar edge music poop whale towels towel tin patricks me 911 goodnight because up hunting ten decoration day letters gifts 10 crown all work my dish primitive teacher funny toys lowrider birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor birds décor garden décor outdoor décor","Aluminum","Strathwood by Amazon.com","","Strathwood Set of 2 Decorative Aluminum Birds with Green Patina Finish","","ALS 5395 Set","OUTDOOR_LIVING"
"B082Q8VXK5","Amazon","IN","811N029876L","amazon.in","","","","Stone & Beam","Khaki","Stone & Beam Jayce Upholstered Accent Chair with Nailheads, 40"" W, Khaki","","2410C","CHAIR"
